All,Všetky
"Last Search Terms","Posledné hľadané výrazy"
"Top Search Terms","Najvyhľadávanejšie výrazy"
"There are no search keywords.","Neexistujú žiadne kľúčové slová."
"View Statistics For:","Zobrazenie štatistických údajov pre:"
"All Websites","Všetky skupiny obchodov(websites)"
"Reload Data","Obnoviť údaje"
"Browse Files...","Prechádzať súbory..."
"Copyright &copy; %1 Magento Commerce Inc. All rights reserved.","Copyright &copy; %1 Magento Commerce Inc. Všetky práva vyhradené."
"Account Setting","Nastavenie účtu"
"Customer View","Pohľad zákazníka"
"Sign Out","Odhlásiť sa"
"About the calendar","O kalendári"
Previous,Predchádzajúca
Next,Nasledujúca
Time,Čas
Hour,Hodina
Minute,Minúta
"JavaScript may be disabled in your browser.","JavaScript vo vašom prehliadači môže byť vypnutý."
"To use this website you must first enable JavaScript in your browser.","Pre používanie tejto internetovej stránky musíte najprv povoliť JavaScript vo vašom prehliadači."
"This is only a demo store. You can browse and place orders, but nothing will be processed.","Toto je len vzorový obchod. Môžete prechádzať produkty a objednávať, ale objednávky nebudú spracované."
"Report an Issue","Nahlásiť problém"
"Stores Configuration","Nastavenia obchodov"
"Please confirm scope switching. All data that hasn't been saved will be lost.","Potvrďte, zmenu objektíva. Všetky úpravý, ktoré ešte neboli uložené budú stratené."
"Additional Cache Management","Dodatočná správa vyrovnávacej pamäte"
"Flush Catalog Images Cache","Vyčistiť vyrovnávaciu pamäť"
"Pregenerated product images files","Predpripravené obrázky produktov"
"Flush JavaScript/CSS Cache","Vyčistit vyrovnávaciu pamäť Javascript/CSS"
"Themes JavaScript and CSS files combined to one file","JavaScript a CSS súbory témy zlúčiť do jedného súboru"
"Flush Static Files Cache","Vyčistit vyrovnávaciu pamäť statických súborov"
"Preprocessed view files and static files","Predpripravené súbory náhľadov a statické súbory"
Catalog,Katalóg
"JavaScript/CSS Cache","Vyrovnácia pamät pre JavaScript/CSS"
"No records found.","Nenašli sa žiadne záznamy."
Images,Obrázky
"Big Image","Veľký obrázok"
Thumbnail,Náhľad
"Additional Settings","Ďalšie nastavenia"
"records found","nájdených záznamov"
selected,vybraných
"per page","na stránku"
"Previous page","Predchádzajúca strana"
"of %1","z %1"
"Next page","Ďalšia strana"
"Export to:","Exportovať do:"
"Mass Actions","Hromadné príkazy"
"Unselect All","Zrušiť výber všetkých"
"Select Visible","Vybrať viditeľné"
"Unselect Visible","Zrušiť výber viditeľných"
"Changes have been made to this section that have not been saved.","V tejto časti boli vykonané zmeny ktoré ešte neboli uložené."
"This tab contains invalid data. Please resolve this before saving.","Táto karta obsahuje neplatné údaje. Prosím vyriešiť tento problém pred uložením."
"The information in this tab has been changed.","Informácie na tejto záložke sa zmenili."
Loading...,Načítávanie...
"We could not detect a size.","Nepodarilo sa zistiť veľkosť."
"Allow everything","Povoliť všetko"
"Global Search","Globálne vyhľadávanie"
"SEO & Search","SEO a vyhľadávanie"
"User Content","Užívateľský obsah"
Content,Obsah
Elements,Prvky
Design,Dizajn
Schedule,Rozvrh
Settings,Nastavenia
Attributes,Atribúty
"Other Settings","Ďalšie nastavenia"
"Data Transfer","Prenos dát"
Tools,Nástroje
Currency,Mena
Communications,Komunikácie
Services,Služby
Advanced,Rozšírené
"Disable Modules Output","Zakázať výstup modulov"
"Store Email Addresses","E-mailové adresy obchodu"
"Custom Email 1","Vlastný E-mail 1"
"Sender Email","Email odosielateľa"
"Sender Name","Meno odosielateľa"
"Custom Email 2","Vlastný E-mail 2"
"General Contact","Hlavný kontakt"
"Sales Representative","Obchodný zástupca"
"Customer Support","Zákaznícka podpora"
Developer,Programátor
"Template Settings","Nastavenia šablóny"
"Minify Html","Minimalizovať HTML"
"Minification is not applied in developer mode.","Minimalizácia sa neaplikuje v režime vývojár."
"Translate Inline","Živý preklad"
"Enabled for Storefront","Povoliť v obchode"
"Enabled for Admin","Povoliť v administrácii"
"Translate, blocks and other output caches should be disabled for both Storefront and Admin inline translations.","Vyrovnávacia pamäť pre: preklad, bloky a dašie by mali byť zakázané počas používania ""Živého prekladu""."
"JavaScript Settings","Nastavenia JavaScriptu"
"Merge JavaScript Files","Zlúčiť súbory JavaScript"
"Enable JavaScript Bundling","Povoliť zoskupenie Javascriptu"
"Minify JavaScript Files","Minimalizovať súbory JavaScript"
"CSS Settings","Nastavenia CSS"
"Merge CSS Files","Zlúčiť súbory CSS"
"Minify CSS Files","Minimalizovať CSS súbory"
"Image Processing Settings","Nastavenia spracovania obrázkov"
"Image Adapter","Obrazový adaptér"
"Static Files Settings","Nastavenia statických súborov"
"Sign Static Files","Podpísať statické súbory"
"Country Options","Možnosti krajiny"
"Allow Countries","Povolené krajiny"
"Default Country","Predvolená krajina"
"European Union Countries","Krajiny Európskej únie"
"Top destinations","Naj destinácie"
"Locale Options","Miestne voľby (locale)"
Timezone,"Časové pásmo"
"First Day of Week","Prvý deň v týždni"
"Weekend Days","Víkendové dni"
"Store Name","Názov obchodu"
"Store Phone Number","Telefonícký kontakt obchodu"
"Store Hours of Operation","Otváracie hodiny obchodu"
Country,Krajina
Region/State,Kraj/štát
"ZIP/Postal Code","Poštové smerovacie číslo"
City,Mesto
"Street Address",Ulica
"Street Address Line 2","2. riadok adresy"
"VAT Number",DIČ
"Single-Store Mode","Režim jediného obchodu"
"Enable Single-Store Mode","Zapnúť režim jediného obchodu"
"This setting will not be taken into account if system has more than one store view.","Toto nastavenie nebude akceptované, ak má systém viac ako jedno zobrazenie obchodu."
"Mail Sending Settings","Bastavenia odosielania e-mailu"
"Disable Email Communications","Zakázať komunikáciu cez e-mail"
Host,Server
"Set Return-Path","Nastaviť spatnú adresu"
"Return-Path Email","Spatná adresa (e-mail)"
Admin,Správca
"Forgot Password Email Template","Šablóna e-mailu pre zabudnuté heslo"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Šablóna pre e-mail zvolená spätnou kompatibilitou motívu keď ""Predvolená"" možnosť je nastavená."
"Forgot and Reset Email Sender","Odosielať správy pre obnovu či zabudnuté heslo"
"Startup Page","Stránka pri spustení"
"Admin Base URL","Základná adresa (URL) administrácie"
"Use Custom Admin URL","Použiť odlišnú adresu URL pre administráciu"
"Custom Admin URL","Odlišná adresa pre administráciu"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Uistite sa, že základné URL končí lomitkom ""/"", napr. http://vasadomena.net/mage/"
"Use Custom Admin Path","Použiť odlišnú cestu pre administráciu"
"Custom Admin Path","Odlišná cesta pre administráciu"
"You will have to sign in after you save your custom admin path.","Bude nutné sa znovu prihlásit po uprave položky ""Odlišná cesta pre administráciu"""
Security,Zabezpečenie
"Recovery Link Expiration Period (hours)","Doba platnosti odkazu pre obnovu (dni)"
"Please enter a number 1 or greater in this field.","Do tohto poľa zadajte číslo 1 alebo väčšie."
"Add Secret Key to URLs","Pridať tajný kľúč k webovým adresám"
"Login is Case Sensitive","Prihlásovacie údaje rozlišujé malé a velké písmo"
"Admin Session Lifetime (seconds)","Životnosť relácie v administrácii (v sekundách)"
"Please enter at least 60 and at most 31536000 (one year).","Zadajte najmenej 60 a najviac 31536000 (jeden rok)."
"Enable Charts","Povoliť grafy"
"Url Options","Nastavenia URL"
"Add Store Code to Urls","Pridať kód obchodu do URL"
"Auto-redirect to Base URL","Automatické presmerovanie na základnú URL"
"Search Engine Optimization","Optimalizácia pre vyhľadávače"
"Use Web Server Rewrites","Použiť prepisy adries (rewrite)"
"Base URLs","Základné URL"
"Base URL","Základná URL"
"Specify URL or {{base_url}} placeholder.","Zadajte adresu URL alebo {{base_url}} zástupný symbol."
"Base Link URL","Základný odkaz URL"
"Base URL for Static View Files","Základné URL zobrazenie statických súborov"
"Default Pages","Predvolené stránky"
"Default Web URL","Predvolenú adresa URL"
"Default No-route URL","Predvolená adresa neexistujúcej stránky"
"Session Validation Settings","Nastavenie overenia relácie"
"Validate REMOTE_ADDR","Overiť REMOTE_ADDR"
"Validate HTTP_VIA","Overiť HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Overiť HTTP_X_FORWARDED_FOR"
"Validate HTTP_USER_AGENT","Overiť HTTP_USER_AGENT"
"Cache Type","Typ vyrovnávacej pamäte"
Description,Popis
Tags,Značky
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">chyba 404 </h1> <p>Stránka nenájdená.</p>"
"Community Edition","Komunitná edícia"
"Default Theme","Predvolený motív"
"Applied Theme","Použitý motív"
"Design Rule","Pravidlo dizajnu"
Pagination,Stránkovanie
"Pagination Frame","Rám stránkovania"
"Anchor Text for Previous","Text kotvy pre predchádzajúci"
"Anchor Text for Next","Text kotvy pre následujúci"
"Theme Name","Názov motívu"
"System Backup","Záloha systému"
"Database and Media Backup","Záloha Databáze a multimédií"
"Database Backup","Záloha databáze"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Archív môže byť dekomprimovaný s <a href=""%1"">%2</a> na systémoch Windows."
"You need more permissions to activate maintenance mode right now.","Na aktivovanie režimu údržby nemáte dostatočné oprávnenia."
"Something went wrong while putting your store into maintenance mode.","Počas nastavnia režimu údržby došlo k chybe."
"You need more free space to create a backup.","Budete potrebovať viac voľného miesta na vytvorenie zálohy."
"You need more permissions to create a backup.","Nemáte dostatočné oprávnenie na vytvorenie zálohy."
"We can't create the backup right now.","Nemôže vytvoriť zálohu práve teraz."
Backups,Zálohovanie
Backup,Záloha
"We can't delete one or more backups.","Jeden alebo viac záloh, sa nedá odstrániť."
failed,neúspešné
successful,úspešné
"You deleted the selected backup(s).","Zmazali ste vybrané zálohy."
"Can't load snapshot archive","Snímka Archívu sa nedá načítať"
"Please correct the password.","Opravte heslo."
"We can't find the backup file.","Súbor zálohy sa nedá nájsť."
"We can't connect to the FTP right now.","Nemôžeme pripojiť na FTP práve teraz."
"Failed to validate FTP.","Nepodarilo sa overiť FTP."
Database,Databáza
"Database and Media","Databáza a multimédia"
"System (excluding Media)","Systém (bez médií)"
"You created the system backup.","Vytvorili ste zálohu sytému."
"You created the system backup (excluding media).","Vytvorili ste zálohu systému (bez multimediálnych súborov)."
"You created the database and media backup.","Vytvorili ste zálohu databáze a multimediálnych súborov."
"You created the database backup.","Vytvorili ste zálohu databáze."
"The backup file does not exist.","Súbor zálohy neexistuje."
"The backup file path was not specified.","Nebolo zadaná cesta k súboru zálohy."
"The backup file ""%1"" does not exist.","Súbor zálohy ""%1"" neexistuje."
"Sorry, but we cannot read from or write to backup file ""%1"".","Nie je memôžeme čítať z alebo zapisovať do súboru zálohy ""%1""."
"Something went wrong while writing to the backup file ""%1"".","Pri zápise do záložného súboru ""%1"" došlo k chybe."
"We can't save the Cron expression.","Nieje možné uložiť Cron výraz."
"You will lose any data created since the backup was made, including admin users, customers and orders.","Stratíte všetky údaje vytvorené od doby vytvorenia zálohy, vrátane admin užívateľov, zákazníkov a objednávok."
"Are you sure you want to continue?","Naozaj chcete pokračovať?"
"This may take a few moments.","Može to trvať nejaký čas."
"Be sure your store is in maintenance mode during backup.","Uistite sa, že váš obchod je v režime údržby počas zálohovania."
"Backup Name","Názov zálohy"
"Maintenance mode","Režim údržby"
"Please put your store into maintenance mode during backup.","Pre vytvorenie zálohy prepnite váš obchod do režimu údržby."
Exclude,Vylúčiť
"Exclude media folder from backup","Vylúčiť adresár médií zo zálohy"
"This action cannot be undone.","Túto akciu nemožno vrátiť späť."
"User Password","Heslo používateľa"
"Use FTP Connection","Použiť FTP pripojenie"
"FTP credentials","Údaje FTP"
"FTP Host","FTP Server"
"FTP Login","FTP užívatelské meno"
"FTP Password","FTP heslo"
"Magento root directory","Koreňový adresár inštalácie Magenta"
"Create Backup","Vytvoriť zálohu"
Frequency,Frekvencia
"Maintenance Mode","Režim údržby"
"Are you sure you want to delete the selected backup(s)?","Naozaj chcete odstrániť vybraté súbory zálohy?"
Size(bytes),Veľkosť(bajty)
Type,Typ
Download,Stiahnuť
"Save and Continue Edit","Uložiť a pokračovať v upravách"
"Default Content","Predvolený obsah"
"No Default Content","Žiadny predvolený obsah"
"Store View Specific Content","Obsah pre konkrétný obchod"
"Use Default","Použiť predvolené"
"Related Promotions","Súvisiace ponuky"
Rule,Pravidlo
"Start Date","Dátum začiatku"
"End Date","Dátum ukončenia"
Active,Aktívny
Inactive,Neaktívny
"Applies To","Platí pre"
"Specify Types","Vyberte typy"
Position,Pozícia
"This rule no longer exists.","Toto pravidlo už neexistuje."
"You deleted %1 record(s).","Odstránili ste %1 záznam (ov)."
"Please enter a name.","Zadajte názov."
"-- None --","--- Žiadny ---"
Footer,Pätička
Header,Záhlavie
"Rotation Mode","Režim menenia"
"Display all instead of rotating","Zobraziť všetký namiesto menenia"
"One at the time, Random","Po jednom - náhodne"
"One at the time, Series","Po jednom - séria"
"One at the time, Shuffle","Po jednom - pomiešane"
Visibility,Viditeľnosť
"We can't initialize checkout.","Nepodarilo sa inicializovať proces nákupu."
"Credit Card","Platobná karta"
"Please agree to all the terms and conditions before placing the order.","Je nutné akceptovať podmienky a ustanovenia pre dokončenie nákupu."
"Display on Shopping Cart","Zobraziť v košíku"
Select...,Vyberte...
"Payment Type","Typ platby"
Month,Mesiac
Year,Rok
"Stored Card","Uložená karta"
"Credit card successfully added","Platobná karta bola úspešne pridaná"
"Something went wrong while saving the card.","Pri ukladaní karty nastala chyba."
"Credit card does not exist","Platobná karta neexistuje"
"Delete Credit Card","Odstránit platobnú kartu"
"There was error deleting the credit card","Chyba pri odstraňovaní platobnej karty"
"Credit card successfully deleted","Platobná karta bola úspešne odstránená"
"Edit Credit Card","Upraviť platobnú kartu"
"My Credit Cards","Moje platobné karty"
"New Credit Card","Nová kreditná karta"
"There was error during saving card data","Nastala chyba počas ukladania údajov karty"
"We can't place the order.","Nieje možné vytvoriť objednávku."
"Incorrect payment method.","Neznámy spôsob platby."
"We can't initialize checkout review.","Nepodarilo sa inicializovať proces hodnotenia nákupu."
"We can't update shipping method.","Nieje možné aktualizovať spôsob doručenia."
"The processor declined your transaction, please re-enter your payment information","Spracovateľ odmietol vašu transakciu, znova zadajte svoje platobné informácie"
"Transaction declined by gateway: Check card details or try another card","Transakcia zamietnutá bránou (by Gateway): Skontrolujte údaje karty alebo skúsiť inú kartu"
"Transaction declined: ","Transakcia odmietnutá: "
"The processor responded with an unknown error","Spracovateľ odpovedal neznámou chybou"
"Credit card type is not allowed for your country.","Typ platobnej karty nie je povolený pre vašu krajinu."
"Credit card type is not allowed for this payment method.","Typ platobnej karty nie je povolený pre tento spôsob platby."
"Selected payment type is not allowed for billing country.","Vybratý druh platby nie je povolený pre krajinu príjemcu platby."
"Incomplete payment information.","Neúplné platobné informácie."
"Please try again later","Prosím, skúste to znovu neskôr"
"There was an error capturing the transaction: %1.","Vyskytla sa chyba počas transakcie: %1."
"There was an error refunding the transaction: %1.","Vyskytla sa chyba počas refundácie patby: %1."
Invoice,Faktúra
Shipment,Zásielka
"Invalid Customer ID provided","Nesprávne ID zákazníka"
"some error","nejaká chyba"
"a,b,c","a, b, c"
"Something went wrong while processing.","Pri spracovaní došlo k chybe."
error,chyba
exception,výnimka
"Payment Information","Informácie o platbe"
"Add new card","Pridať novú kartu"
"Save this card for future use","Uložiť túto kartu pre budúce použitie"
or,alebo
"Please confirm that you want to delete this credit card","Potvrďte, že chcete odstrániť túto platobnú kartu"
"Cardholder Name","Meno majiteľa karty"
"* Required Fields","* Povinné políčka"
"Make Default","Nastaviť ako predvolené"
"Billing Address","Adresa pre fakturáciu"
Company,Spoločnosť
Address,Adresa
State/Province,Štát/provincia
"Please select region, state or province","Vyberte prosím región, štát alebo okres"
"Zip/Postal Code","Poštové smerovacie číslo"
"Add Credit Card","Pridať platobnú kartu"
"Card Number","Číslo karty"
"Is Default","Je predvolené"
"Capture action","Zachytiť akciu"
"Use Vault","Použiť hodnotu"
"Allow Duplicate Cards","Povoliť duplicitné karty"
"Enable Credit Card auto-detection on Storefront","Zapnúť automatické zisťovanie kreditných kariet v obchode"
"Your Kount ID","Vaše Kount ID"
"Use Cache","Používanie vyrovnávacej pamäte"
"Edit My Credit Cards","Upraviť platobnú kartu"
"Paypal account","PayPal účet"
"Coinbase account","Coinbase účet"
"Europe bank account","Účet Európskej banky"
"Credit card","Kreditná karta"
"Apple pay card","Apple pay karta"
"Android pay card","Android pay karta"
"Authorization expired","Autorizácia vypršala"
Authorizing,Autorizované
Authorized,Autorizované
"Gateway rejected","Brána zamietnutá"
Failed,"Nepodarilo sa"
Unrecognized,Neznámy
"Percent Discount","Percentuálna zľava"
"-- Select --","-- Vyberte --"
Dynamic,Dynamické
Fixed,Pevné
"Create New Option","Vytvoriť novú možnosť"
"Bundle Items","Súbor položiek"
"Add Products to Option","Pridať produkty k možnosti"
"Delete Option","Odstrániť možnosť"
"What are you looking for?","Čo hľadáte?"
"Use Default Value","Použiť predvolenú hodnotu"
"There is no defined renderer for ""%1"" option type.","Neexistuje žiadný definovaný vykresľovač pre typ možnosti ""%1""."
"Product with specified sku: ""%1"" does not contain option: ""%2""","Produkt so zadaným katalógovým číslom: ""%1"" neobsahuje možnosť: ""%2"""
"Price Range","Cenový rozsah"
"As Low as","Už od"
Together,Spolu
Separately,Samostatne
"Please specify product option(s).","Zadajte parametre produktu."
"The options you selected are not available.","Možnosti ktoré ste vybrali sú nedostupné."
"The required options you selected are not available.","Požadované možnosti ktoré ste vybrali sú nedostupné."
"Please select all required options.","Vyberte všetky požadované možnosti."
"We can't add this item to your shopping cart right now.","Práve teraz nieje možné pridať položku do vašeho košíka."
N/A,NEDOST.
Percent,Percentá
"We can't save custom-defined options for bundles with dynamic pricing.","Nemôžeme uložiť prispôsobené možnosti pre zoskupenie s dynamickými cenami."
"Add Selected Products","Pridať vybrané produkty"
"Add Option","Pridaj možnosť"
"New Option","Nová možnosť"
"Option Title","Názov možnosti"
"Default Title","Predvolený názov"
"Store View Title","Názov zobrazenia obchodu"
"Input Type","Typ vstupu"
Drop-down,"Rozbaľovací zoznam"
"Radio Buttons",Prepínače
Checkbox,"Zaškrtávacie políčko"
"Multiple Select","Viacnásobný výber"
Required,Požadované
"Default Quantity","Predvolené množstvo"
"User Defined","Definované používateľom"
"Price Type","Typ ceny"
Quantity:,Množstvo:
"Choose a selection...","Zvolte výber..."
"Ship Bundle Items","Odoslať súbor položiek"
"There are no products in this option.","Zvolenú možnosť nemá žiadný produkt."
Default,Predvolené
Ordered,Objednané
Invoiced,Fakturované
Shipped,Odoslané
Refunded,Vrátené
Canceled,Zrušené
"Regular Price","Bežná cena"
"As low as","Už od"
"Buy %1 with %2 discount each","Kúpte %1 každý so zľavou %2"
"Go back to product details","Vrátiť sa k podrobnostiam o produkte"
"Customize and Add to Cart","Prispôsobiť a pridať do košíka"
"Your Customization","Vaše prispôsobenie"
Availability,Dostupnosť
"In stock",Skladom
"Out of stock",Vypredané
Availability:,Dostupnosť:
"Customize %1","Prispôsobiť %1"
"No options of this product are available.","Pre tento produkt niesu dostupné žiadne možnosti."
"Gift Message",Venovanie
From:,Od:
To:,Pre:
Message:,Správa:
"Product Name","Názov produktu"
"Discount Amount","Hodnota zľavy"
"Row Total","Celkom za položku"
"Qty Invoiced","Fakturované množstvo"
"Qty Shipped","Odoslané množstvo"
"Add Products to New Option","Pridať produkty k novej možnosti"
"Add Products to Option ""%1""","Pridať produkty k možnosti ""%1"""
Always,Vždy
"After number of attempts to login","Po niekoľkých pokusoch o prihlásenie"
"Provided form does not exist","Požadovaný formulár neexistuje"
"Incorrect CAPTCHA","Nesprávna CAPTCHA"
"Incorrect CAPTCHA.","Nesprávna CAPTCHA."
"The account is locked. Please wait and try again or contact %1.","Konto je uzamknuté. Počkajte a skúste to znova alebo kontaktujte %1."
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Pozor</strong>: Rozlišujte malé a veľké písmená."
"Reload captcha",Obnoviť
"Attention: Captcha is case sensitive.","Pozor: Captcha rozišuje malé a veľké písmená."
"Enable CAPTCHA in Admin","Povoliť CAPTCHA v Administrácii"
Font,Písmo
Forms,Formuláre
"Displaying Mode","Režim zobrazenia"
"Number of Unsuccessful Attempts to Login","Počet neúspešných pokusov o prihlásenie"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Ak je zadaná 0, CAPTCHA na formulári prihlásiť bude vždy k dispozícii."
"CAPTCHA Timeout (minutes)","Časový limit pre CAPTCHA (minút)"
"Number of Symbols","Počet symbolov"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Uveďte najviac 8 znakov. Rozsah povolený (napr. 3-5)"
"Symbols Used in CAPTCHA","Symboly použité v CAPTCHA"
"Case Sensitive","Rozlišovať malé a veľké písmená"
"Enable CAPTCHA on Storefront","Povoliť CAPTCHA v obchode"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","Ak to povolíte, formuláre ""Vytvoriť užívateľa"" a ""Zabudnuté heslo"" budú vždy vyžadovať CAPTCHAu."
Root,Hlavný
"Are you sure you want to delete this category?","Naozaj chcete odstrániť túto kategóriu?"
"Use Config Settings","Použiť nastavenie konfirurácie"
"Use All Available Attributes","Použiť všetky dostupné atribúty"
"Add Subcategory","Pridať podkategóriu"
"Add Root Category","Pridať základnú kategóriu"
Day,Deň
"Add Product","Pridať produkt"
label,štítok
"Product Attributes","Atribúty produktu"
"Add New Attribute","Pridať nový atribút"
"Save Attribute","Uložiť atribút"
"Save in New Attribute Set","Uložiť novú Sadu atribútov"
"Enter Name for New Attribute Set","Zadať meno pre novú sadu atribútov"
"Delete Attribute","Odstrániť atribút"
"Edit Product Attribute ""%1""","Upraviť atribút produktu ""%1"""
"New Product Attribute","Nový atribút produktu"
"Advanced Attribute Properties","Pokročílé vlastnosti atribútu"
"Attribute Code","Kód atribútu"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Toto sa používa interne. Uistite sa, že nepoužívate medzery alebo viac ako %1 symbol(ov)."
"Default Value","Predvolená hodnota"
"Unique Value","Jedinečná hodnota"
"Unique Value (not shared with other products)","Jedinečná hodnota (nezdieľa sa s ostatnými produktmi)"
"Not shared with other products.","Nezdiela sa s ostatnými produktmi."
"Input Validation for Store Owner","Vstupné overenie pre majiteľa obchodu"
"Add to Column Options","Pridať mezi parametre na výpise"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Vyberte ""Áno"" pre pridanie tohtoto atribútu do zoznamu parametrov vo výpise produktov."
"Use in Filter Options","Použitelné vo filtrovaní"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Vyberte ""Áno"" pre použite tohoto atribútu ako parametera podľa ktorého bude možné filtrovať výpis produktov."
Website,"Webová stránka"
Global,Globálne
Scope,Objektív
"Declare attribute value saving scope.","Deklarovať objektív uloženia hodnoty atribútu."
"Storefront Properties","Vlastnosti obchodu"
"Use in Search","Použiť vo vyhľadávaní"
"Visible in Advanced Search","Zobraziť na stránke pokročilé vyhľadávanie"
"Comparable on Storefront","Možné zobraziť pre porovnanie"
"Use for Promo Rule Conditions","Použit ako podmienku Promo pravidla"
"Allow HTML Tags on Storefront","Povoliť HTML tagy v obchode"
"Visible on Catalog Pages on Storefront","Viditeľné na Katalóg stránok v obchode"
"Used in Product Listing","Použiť vo výpise produktov"
"Depends on design theme.","Závisí od dizajnu motívu."
"Used for Sorting in Product Listing","Použitelné na triedenie výpisu produktov"
"Media Image","Obrázok medií"
Gallery,Galéria
"System Properties","Vlastnosti systému"
"Data Type for Saving in Database","Dátový typ pre uloženie v databázi"
Varchar,Reťazec
Static,Statická
Datetime,"Dátum a čas"
Decimal,Desatinné
Integer,"Celé číslo"
"Globally Editable","Globálne upravitelné"
"Attribute Information","Informácie atribútu"
Properties,Vlastnosti
"Manage Labels","Spravovať štítky"
Visible,Viditeľné
Searchable,Hladateľné
Comparable,Porovnateľné
"Delete Selected Group","Odstrániť vybranú skupinu"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Chystáte sa odstrániť všetky produkty v tejto sade atribútov. Naozaj to chcete urobiť?"
"New Set Name","Názov novej sady"
"Edit Attribute Set '%1'","Upraviť sadu atribútov ""%1"""
Empty,Prázdne
"Add Attribute","Pridať atribút"
"Add New Group","Pridať novú skupinu"
"Add Group","Pridať skupinu"
"For internal use","Pre vnútorné použitie"
"Based On","Na základe"
"Edit Attribute Set Name","Upraviť názov sady atribútov"
"Add New Attribute Set","Pridať novú sadu atribútov"
"Add Attribute Set","Pridať sadu atribútov"
"Attribute Sets","Sada atribútov"
"Close Window","Zavrieť okno"
"New Product","Nový produkt"
"Save & Edit","Uložiť & upravovať"
"Save & New","Uložiť & Nový"
"Save & Duplicate","Uložiť & Duplikovať"
"Save & Close","Uložiť a Zavrieť"
Change,Zmeniť
"Advanced Inventory","Pokročilý inventár"
Websites,"Webové stránky"
"Products Information","Informácie o produktoch"
"Create Category","Vytvoriť kategóriu"
"Category Name","Názov kategórie"
"Parent Category","Nadradená Kategória"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Ak neexistujú žiadne vlastné nadradené kategórie, použite predvolenú nadradenú kategóriu. Kategóriu môžete kedykoľvek priradiť v <a href=""%1"" target=""_blank""> Produkty > Kategórie</a>."
"There are no customers for this alert.","Žiadny zákazník nepoužíva tento typ upozornenia."
"Subscribe Date","Dátum prihlásenia"
"Last Notified","Naposledy oznámené"
"Send Count","Počet odoslaní"
"New Attribute","Nový atribút"
"Attribute Set","Sada atribútov"
"Add New Option","Pridať novú možnosť"
"Import Options","Nahrať možnosti"
Import,Nahrať
"Add New Row","Pridať nový riadok"
"Delete Row","Odstrániť riadok"
"Tier Pricing","Skupinová cenotvorba"
"Default Price","Predvolená cena"
"ALL GROUPS","VŠETKY SKUPINY"
"Add Price","Pridať cenu"
"Default Values","Predvolené hodnoty"
"Related Products","Podobné produkty"
Up-sells,"Hodnotnejšie produkty"
Cross-sells,"Zaujmavé produkty"
"Size for %1","Veľkosť pre %1"
"Watermark File for %1","Súbor vodoznaku pre %1"
"Position of Watermark for %1","Umiestnenie vodoznaku pre %1"
"Name in %1","Meno v %1"
"Change Status","Zmeniť stav"
"Update Attributes","Aktualizovať atribúty"
"start typing to search category","začnite písať pre vyhľadánie kategórie"
"New Category","Nová kategória"
"Add New Images","Pridať nové obrázky"
"Inc. Tax","Vrátane dane"
"Does this have a weight?","Má to váhu?"
"Notify Low Stock RSS","RSS oznamenia nízkych zásob"
"Low Stock Products","Produkty s nízkym stavom"
"%1 has reached a quantity of %2.","%1 dosiahol množstvo %2."
"Go to Home Page","Prejdite na domovskú stránku"
"Subscribe to RSS Feed","Prihlásiť sa k RSS"
"Products Comparison List","Porovnanie produktov"
AM,predo.
PM,poob.
"New Products from %1","Nové produkty od %1"
"New Products","Nové produkty"
"%1 - Special Products","%1 - zlacnené produkty"
"Click for price","Pre cenu kliknite"
"Special Expires On: %1","Zľava končí v: %1"
"Price: %1","Cena: %1"
"Special Price: %1","Cena po zľave: %1"
"Special Products","Zlacnené produkty"
"Manage Catalog Categories","Správa kategórií katalógu"
"Manage Categories","Spravovať kategórie"
"You deleted the category.","Odstránili ste kategóriu."
"Something went wrong while trying to delete the category.","Niečo pokazilo pri pokuse odstrániť kategóriu."
Categories,Kategórie
"Category is not available for requested store.","Kategória nie je dostupná pre požadovaný obchod."
"There was a category move error.","Nastala chyba presunu kategórie."
"You moved the category.","Premiestnili ste kategóriu."
"Something went wrong while saving the category.","Pri ukladaní kategórie došlo k chybe."
"You saved the category.","Uložili ste kategóriu."
"Please select products for attributes update.","Vyberte produkty pre aktualizáciu atribútov."
"Please make sure to define SKU values for all processed products.","Prosím, uistite sa, že ste zadali katalogové čísla pre všetky spracované produkty."
"Something went wrong while updating the product(s) attributes.","Pri aktualizácii atribútov produktu došlo k chybe."
